category,question,sql,generated_sql
group_by,Employees per office,"SELECT officeCode, COUNT(*) FROM employees GROUP BY officeCode;","SELECT 
  o.""officeCode"",
  o.""city"",
  e.""firstName"",
  e.""lastName""
FROM 
  employees e
INNER JOIN 
  offices o ON e.""officeCode"" = o.""officeCode"";"
group_by,Total stock per product vendor,"SELECT productVendor, SUM(quantityInStock) FROM products GROUP BY productVendor;","SELECT 
  p.""productVendor"", 
  SUM(p.""quantityInStock"") 
FROM 
  products p 
GROUP BY 
  p.""productVendor"";"
group_by,Average buy price per product line,"SELECT productLine, AVG(buyPrice) FROM products GROUP BY productLine;","SELECT 
  p.""productLine"", 
  AVG(p.""buyPrice"") AS ""averageBuyPrice""
FROM 
  products p
GROUP BY 
  p.""productLine"";"
group_by,Orders per customer,"SELECT customerNumber, COUNT(*) FROM orders GROUP BY customerNumber;","SELECT 
  c.""customerName"", 
  COUNT(o.""orderNumber"")
FROM 
  customers c
INNER JOIN 
  orders o ON c.""customerNumber"" = o.""customerNumber""
GROUP BY 
  c.""customerName"""
group_by,Max MSRP per product line,"SELECT productLine, MAX(MSRP) FROM products GROUP BY productLine;","SELECT 
  p.""productLine"", 
  MAX(p.""MSRP"") AS ""max_msrp""
FROM 
  products p
GROUP BY 
  p.""productLine"""
group_by,Min buy price per vendor,"SELECT productVendor, MIN(buyPrice) FROM products GROUP BY productVendor;","SELECT 
  p.""productVendor"", 
  MIN(p.""buyPrice"") AS ""min_buy_price""
FROM 
  products p
GROUP BY 
  p.""productVendor"""
aggregate,Total number of customers,SELECT COUNT(*) FROM customers;,"SELECT COUNT(*) 
FROM customers c;"
aggregate,Total number of products,SELECT COUNT(*) FROM products;,"SELECT COUNT(p.""productCode"") 
FROM products p;"
aggregate,Total revenue from payments,SELECT SUM(amount) FROM payments;,"SELECT SUM(p.""amount"") 
FROM payments p;"
aggregate,Average product price,SELECT AVG(buyPrice) FROM products;,"SELECT AVG(p.""buyPrice"") 
FROM products p;"
aggregate,Max payment amount,SELECT MAX(amount) FROM payments;,"SELECT MAX(p.""amount"") 
FROM payments p;"
aggregate,Min payment amount,SELECT MIN(amount) FROM payments;,"SELECT MIN(p.""amount"") 
FROM payments p;"
aggregate,Count total orders,SELECT COUNT(*) FROM orders;,"SELECT COUNT(o.""orderNumber"") 
FROM orders o;"
aggregate,Total quantity in stock,SELECT SUM(quantityInStock) FROM products;,"SELECT SUM(p.""quantityInStock"") 
FROM products p;"
aggregate,Average MSRP,SELECT AVG(MSRP) FROM products;,"SELECT AVG(p.""MSRP"") 
FROM products p;"
aggregate,Number of employees,SELECT COUNT(*) FROM employees;,"SELECT COUNT(*) 
FROM employees e;"
